country,date,confirmed,deaths,recovered
El Salvador,1/22/20,0,0,0
El Salvador,1/23/20,0,0,0
El Salvador,1/24/20,0,0,0
El Salvador,1/25/20,0,0,0
El Salvador,1/26/20,0,0,0
El Salvador,1/27/20,0,0,0
El Salvador,1/28/20,0,0,0
El Salvador,1/29/20,0,0,0
El Salvador,1/30/20,0,0,0
El Salvador,1/31/20,0,0,0
El Salvador,2/1/20,0,0,0
El Salvador,2/2/20,0,0,0
El Salvador,2/3/20,0,0,0
El Salvador,2/4/20,0,0,0
El Salvador,2/5/20,0,0,0
El Salvador,2/6/20,0,0,0
El Salvador,2/7/20,0,0,0
El Salvador,2/8/20,0,0,0
El Salvador,2/9/20,0,0,0
El Salvador,2/10/20,0,0,0
El Salvador,2/11/20,0,0,0
El Salvador,2/12/20,0,0,0
El Salvador,2/13/20,0,0,0
El Salvador,2/14/20,0,0,0
El Salvador,2/15/20,0,0,0
El Salvador,2/16/20,0,0,0
El Salvador,2/17/20,0,0,0
El Salvador,2/18/20,0,0,0
El Salvador,2/19/20,0,0,0
El Salvador,2/20/20,0,0,0
El Salvador,2/21/20,0,0,0
El Salvador,2/22/20,0,0,0
El Salvador,2/23/20,0,0,0
El Salvador,2/24/20,0,0,0
El Salvador,2/25/20,0,0,0
El Salvador,2/26/20,0,0,0
El Salvador,2/27/20,0,0,0
El Salvador,2/28/20,0,0,0
El Salvador,2/29/20,0,0,0
El Salvador,3/1/20,0,0,0
El Salvador,3/2/20,0,0,0
El Salvador,3/3/20,0,0,0
El Salvador,3/4/20,0,0,0
El Salvador,3/5/20,0,0,0
El Salvador,3/6/20,0,0,0
El Salvador,3/7/20,0,0,0
El Salvador,3/8/20,0,0,0
El Salvador,3/9/20,0,0,0
El Salvador,3/10/20,0,0,0
El Salvador,3/11/20,0,0,0
El Salvador,3/12/20,0,0,0
El Salvador,3/13/20,0,0,0
El Salvador,3/14/20,0,0,0
El Salvador,3/15/20,0,0,0
El Salvador,3/16/20,0,0,0
El Salvador,3/17/20,0,0,0
El Salvador,3/18/20,0,0,0
El Salvador,3/19/20,1,0,0
El Salvador,3/20/20,1,0,0
